SMILES,96-Plate,96-Well,16h Raw R1,16h Raw R2
O=C([C@@H]1[C@@H](C2=CC=CC=C2)[C@@]2(C3=CC=C(OC)C=C3)[C@@](O)([C@@H]1O)C1=C(OC)C=C(OC)C=C1O2)O,10-2,E03,1.198,1.187
O=C([C@@H]1[C@@H](C2=CC=CC=C2)[C@@]2(C3=CC=C(OC)C=C3)[C@@](O)([C@@H]1O)C1=C(OC)C=C(OC)C=C1O2)N,10-2,E04,1.191,1.181
CCCCCCCCC/C(C(O)=O)=C\C1=C(C)C(=O)C(OC)=C(OC)C1=O,10-2,E05,0.904,0.93
O=C(NS(=O)(C1=CC(Br)=CC=C1OC)=O)/C=C/C1=CC(Cl)=CC=C1CC1=CC=C2C=CC=CC2=C1,10-2,E06,0.278,0.304
ClC1=CC=C2C(NC[C-]34[Fe+2]56789%10%11([CH-]%12[CH]5=[CH]6[CH]7=[CH]8%12)C3(CN(C)C)=[CH]9[CH]%10=[CH]4%11)=CC=NC2=C1,10-2,E07,1.109,1.118
O[C@H]1[C@H](N2C=NC3=C(NCC4=CC=C(N)C=C4)N=CN=C23)O[C@H](C(NC)=O)[C@H]1O,10-2,E08,1.184,1.179
C(NC)(=O)C1=CC=CC(NC2=NC=CC(N3CC(OC4=CC=C(F)C=C4C)C3)=N2)=C1,10-2,E09,1.228,1.228
O=C(OC1=CC=C(Br)C=C1)N1CCN2CCC1CC2,10-2,E10,1.229,1.234
COC1=CC2=C(C=C1N1C[C@@H](C)N[C@@H](C)C1)N(C(=O)C1=CC=C(C3=CC=C(C4=NOC(C)=N4)C=C3C)C=C1)CC2,10-2,E11,0.757,0.5
O=C(NC1=CC=C([N+]([O-])=O)C(C(F)(F)F)=C1)C(C)(O)CNC(C(F)(F)F)=O,10-2,F02,1.195,1.185
O=C(N1CC(C(N[O-])=O)N(S(=O)(C2=CC(F)=C(OC3=CC=C(Cl)C=C3)C(F)=C2)=O)CC1)OCCOC.[0.5Mg2+],10-2,F03,1.274,1.256
O=C1C=C(C2=CC=CS2)NC([C@H]2CCCN(CC3=CN(C4=NC=CC=N4)C=N3)C2)=N1,10-2,F04,1.181,1.175
C[C@H]1[C@H](N2CCS(=O)(=O)CC2)O[C@@]2([H])[C@@]34[C@]([H])([C@H](C)CC[C@@]13[H])CC[C@](C)(O2)OO4,10-2,F05,1.191,1.176
O=C(C1=CC=C2OC(F)(F)OC2=C1)NC1CC2=C(C=CC=C2)C1,10-2,F06,1.185,1.168
O=S(C(F)(F)F)(OC1=CC=C([C@@H](C)C(NS(=O)(C)=O)=O)C=C1)=O,10-2,F07,1.193,1.178
N[C@@H](CCSC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3N)O1)C(O)=O,10-2,F08,1.196,1.179
ClC1=CC(C(N[C@@H](CC2=CC=C(C3=CN(C)C(C(C)=O)=N3)C=C2)CNC(CN(C)C)=O)=O)=CC=C1OC(C)C,10-2,F09,1.301,1.298
